GeneName,geneid,baseMean,log2FoldChange,pvalue,padj
BNIP2,663,1299.062288,-0.6605118,4.03E-27,2.13E-25
FAM13B,51306,2498.343595,-0.843720321,4.08E-27,2.15E-25
TSPAN18,90139,1317.839348,-1.724796331,4.31E-27,2.27E-25
CEP120,153241,1022.427171,-0.633928086,4.42E-27,2.32E-25
CSK,1445,3579.940686,0.572092676,4.73E-27,2.47E-25
SLC27A4,10999,2495.422454,0.900383831,4.76E-27,2.48E-25
ALB,213,175.9419049,3.586324376,4.86E-27,2.52E-25
C1orf64,149563,1201.598882,3.773323649,5.04E-27,2.61E-25
SYNPO2,171024,27760.93658,-1.905158109,5.55E-27,2.87E-25
CYP4F22,126410,144.3548206,-3.075876544,5.92E-27,3.05E-25
LRTOMT,220074,1383.811273,0.714459789,5.97E-27,3.07E-25
GPX2,2877,368.3919503,-2.623950236,6.27E-27,3.22E-25
PEO1,56652,812.1645707,0.819647101,6.6E-27,3.37E-25
ZSCAN2,54993,778.7023648,0.649943533,6.9E-27,3.52E-25
KCNS1,3787,121.7292928,-2.92393054,7.26E-27,3.69E-25
NHS,4810,322.8471415,-1.437190127,7.76E-27,3.94E-25
POLR2H,5437,2262.013377,0.957880487,8.56E-27,4.33E-25
,445347,25937.34212,2.098249452,8.92E-27,4.5E-25
ZNF74,7625,876.64898,0.645455428,9.68E-27,4.88E-25
SAMD10,140700,752.9936879,1.068029443,9.81E-27,4.93E-25
SLITRK6,84189,440.1823488,-1.871021,1.03E-26,5.18E-25
SLC26A1,10861,132.839738,1.246660849,1.07E-26,5.37E-25
LMO3,55885,646.0680929,-2.111925044,1.08E-26,5.4E-25
TMOD2,29767,613.8197335,-1.200167355,1.13E-26,5.63E-25
FAXDC2,10826,1503.97378,-1.485553588,1.19E-26,5.91E-25
PCGF3,10336,3497.873012,0.632991585,1.26E-26,6.21E-25
EPHA8,2046,25.02326851,2.966565644,1.34E-26,6.6E-25
GJA1,2697,4749.940167,-1.417099989,1.35E-26,6.65E-25
ID4,3400,1353.190231,-1.736409897,1.36E-26,6.65E-25
ME1,4199,627.7528498,-1.735355922,1.47E-26,7.18E-25
